popularity,original_title,runtime,genres,vote_count,vote_average,release_year,budget_adj,revenue_adj,movie_length,rating
3.968891,Maze Runner: The Scorch Trials,132,Action,1849,6.4,2015,56119975.30721079,286356245.923251,v_long,m_high
3.927333,Mr. Holmes,103,Mystery,425,6.4,2015,0.0,27006774.877019,long,m_high
3.899557,Chappie,120,Crime,1990,6.6,2015,45079980.16480871,93903685.2423785,v_long,m_high
3.877764,Pitch Perfect 2,115,Comedy,1264,6.8,2015,26679988.260805104,264505582.09754303,v_long,high
3.64821,Bridge of Spies,141,Thriller,1638,7.1,2015,36799983.80800711,149601569.335309,v_long,high
3.644541,Goosebumps,103,Adventure,600,6.2,2015,53359976.5216103,138157089.01088,long,m_high
3.557846,Room,117,Drama,1520,8.0,2015,5519997.57120106,32569603.029374603,v_long,high
3.358321,Solace,101,Crime,474,6.2,2015,0.0,20566197.1908732,long,m_high
3.339135,The Good Dinosaur,93,Adventure,1087,6.6,2015,160999929.16003102,305371920.876354,medium,m_high
3.23737,Run All Night,114,Action,814,6.3,2015,45999979.7600089,65836683.5118592,v_long,m_high
3.227329,Brooklyn,111,Drama,754,7.3,2015,10119995.5472019,57110024.5915891,long,high
3.202719,Straight Outta Compton,147,Drama,918,7.7,2015,25759988.665604897,185504110.098191,v_long,high
3.080505,The Last Witch Hunter,106,Fantasy,879,5.6,2015,82799963.56801601,129164861.167461,long,medium
3.0795220000000003,Steve Jobs,122,History,1035,6.9,2015,27599987.856005296,31686509.2179359,v_long,high
3.053421,The Man from U.N.C.L.E.,116,Comedy,1548,7.0,2015,68999969.64001329,99493456.50287908,v_long,high
3.025852,The Age of Adaline,112,Fantasy,1221,7.3,2015,22999989.8800044,39219376.6634742,long,high
3.023253,Hardcore Henry,97,Action,396,5.9,2015,9199995.95200178,13187080.9976843,medium,medium
2.976436,Home,94,Fantasy,1060,6.9,2015,124199945.352024,339361177.121082,medium,high
2.968254,Paper Towns,109,Drama,1252,6.2,2015,11039995.1424021,78671281.38463621,long,m_high
2.93234,Wild Card,92,Thriller,481,5.3,2015,27599987.856005296,0.0,medium,low
2.885126,The Lobster,118,Thriller,638,6.6,2015,3679998.38080071,8339346.45068756,v_long,m_high
2.883233,Carol,118,Romance,562,7.1,2015,10855995.2233621,37050347.8978469,v_long,high
2.814802,The Intern,121,Comedy,1255,7.1,2015,32199985.8320062,178999419.480255,v_long,high
2.798017,Everest,121,Adventure,1172,6.7,2015,50599977.7360098,187153294.93255,v_long,high
2.793297,Joy,124,Comedy,1001,6.4,2015,55199975.71201059,93043293.3409509,v_long,m_high
2.6144990000000004,Point Break,114,Action,505,5.5,2015,96599957.49601872,123021159.990689,v_long,medium
2.584264,Burnt,100,Drama,631,6.3,2015,18399991.9040035,33678188.7415969,medium,m_high
2.578919,Self/less,116,Science Fiction,719,6.2,2015,23919989.4752046,28081355.56420349,v_long,m_high
2.575711,Mortdecai,106,Comedy,696,5.3,2015,55199975.71201059,27985062.8865723,long,low
2.557859,The Danish Girl,120,Drama,867,7.3,2015,13799993.9280026,59056175.1752829,v_long,high
2.5507470000000003,Blackhat,133,Mystery,584,5.0,2015,64399971.6640124,16332697.613613,v_long,low
2.487849,Sicario,121,Action,1479,7.1,2015,27599987.856005296,77303716.7063646,v_long,high
2.487042,Fantastic Four,100,Action,1565,4.4,2015,110399952.34402,154539320.322699,medium,low
2.46449,The Witch,92,Mystery,700,5.8,2015,3219998.58320062,37190013.0363942,medium,medium
2.404473,Spy,120,Action,1840,6.9,2015,59799973.6880115,216812826.082356,v_long,high
2.395366,Focus,105,Romance,1831,6.7,2015,46091979.7195289,141645863.63582,long,high
2.354654,Hitman: Agent 47,96,Action,820,5.5,2015,32199985.8320062,75759810.18568349,medium,medium
2.345821,In the Heart of the Sea,122,Thriller,805,6.4,2015,91999959.5200178,86315059.3813738,v_long,m_high
2.331636,Survivor,96,Crime,280,5.4,2015,18399991.9040035,0.0,medium,low
2.331567,Creed,133,Drama,1171,7.3,2015,32199985.8320062,126900665.803707,v_long,high
2.31767,Trainwreck,125,Comedy,849,6.1,2015,32199985.8320062,129532072.565888,v_long,m_high
2.29573,Eye in the Sky,102,Drama,265,7.2,2015,11959994.7376023,30220316.9030605,long,high
2.28135,Legend,131,Crime,619,6.7,2015,22999989.8800044,39535137.0845396,v_long,high
2.272044,Beyond the Reach,95,Thriller,81,5.5,2015,0.0,42223.381421712096,medium,medium
2.234573,Pan,111,Adventure,586,5.9,2015,137999939.280026,118117202.42843,long,medium
2.165433,Mythica: The Darkspore,108,Action,27,5.1,2015,0.0,0.0,long,low
2.141506,Me and Earl and the Dying Girl,105,Comedy,569,7.7,2015,0.0,0.0,long,high
2.140199,The Peanuts Movie,88,Adventure,414,6.4,2015,91079959.9248176,226534364.284879,short,m_high
2.121884,Concussion,123,Drama,500,6.9,2015,32199985.8320062,44733666.5571867,v_long,high
2.096273,The Night Before,100,Comedy,363,6.1,2015,22999989.8800044,48204295.1101101,medium,m_high
2.080935,Knock Knock,99,Drama,473,4.8,2015,2299998.98800044,4796917.44935632,medium,low
2.070708,The Longest Ride,128,Romance,711,7.3,2015,31279986.236806,57972193.012235,v_long,high
2.060162,Hotel Transylvania 2,89,Animation,919,6.8,2015,73599967.61601421,428888671.768984,short,high
2.055572,Love the Coopers,107,Family,111,5.3,2015,15639993.118403,22079990.2848042,long,low
2.049886,The Walk,123,Adventure,706,6.8,2015,32199985.8320062,56287361.8735607,v_long,high
2.026651,Tracers,94,Action,326,5.9,2015,10119995.5472019,1714249.04573042,medium,medium
2.000338,Vacation,99,Adventure,846,6.1,2015,28519987.4512055,96033410.7052992,medium,m_high
1.984529,Poltergeist,93,Horror,589,5.0,2015,32199985.8320062,87802915.846717,medium,low
1.980039,Maggie,95,Horror,384,5.1,2015,3679998.38080071,172142.964257095,medium,low
1.959765,Equals,101,Drama,135,5.6,2015,0.0,1839999.19040035,long,medium
1.95632,Child 44,137,Crime,341,5.9,2015,45999979.7600089,3058382.2543117995,v_long,medium
1.926739,The Gift,108,Thriller,631,6.6,2015,4599997.97600089,54260336.8854517,long,m_high
1.904898,Daddy's Home,96,Comedy,568,5.7,2015,45999979.7600089,221131463.342156,medium,medium
1.876037,Mythica: The Necromancer,0,Fantasy,11,5.4,2015,0.0,0.0,,low
1.872696,Vice,96,Thriller,181,4.1,2015,9199995.95200178,0.0,medium,low
1.865007,The Little Prince,92,Adventure,423,7.5,2015,58879974.0928114,89765510.50317529,medium,high
1.841779,Alvin and the Chipmunks: The Road Chip,92,Adventure,278,5.7,2015,0.0,215055014.135793,medium,medium
1.82313,The Dressmaker,118,Drama,197,6.9,2015,10975595.1707381,16872792.5759712,v_long,high
1.758618,The DUFF,100,Romance,753,6.8,2015,7819996.55920151,40046325.65961671,medium,high
1.742286,Sinister 2,97,Horror,331,5.5,2015,9199995.95200178,48651435.1533685,medium,medium
1.73518,Paul Blart: Mall Cop 2,94,Action,422,5.3,2015,27599987.856005296,98989419.0846556,medium,low
1.7247119999999898,Frozen Fever,8,Adventure,475,7.0,2015,0.0,0.0,short,high
1.661789,High-Rise,119,Action,161,5.4,2015,0.0,0.0,v_long,low
1.6510779999999898,The Boy Next Door,91,Thriller,810,3.9,2015,3679998.38080071,46150034.4539848,short,low
1.646664,Spooks: The Greater Good,104,Thriller,114,5.6,2015,0.0,0.0,long,medium
1.532997,Entourage,104,Comedy,364,6.2,2015,27599987.856005296,45322311.73818279,long,m_high
1.510096,The Wedding Ringer,101,Comedy,446,6.5,2015,21159990.689604,73415857.2970227,long,m_high
1.499614,Scouts Guide to the Zombie Apocalypse,93,Comedy,288,6.2,2015,13799993.9280026,13671898.7043645,medium,m_high
1.495112,The Visit,94,Horror,729,5.9,2015,4599997.97600089,90574017.1874324,medium,medium
1.48324599999999,Black Mass,122,Crime,848,6.3,2015,48759978.5456094,91793583.3708233,v_long,m_high
1.449072,Heist,93,Crime,233,5.4,2015,8187996.39728158,46125.099704956105,medium,low
1.448002,Krampus,98,Horror,342,5.9,2015,13799993.9280026,56624785.5250943,medium,medium
1.443406,Dark Places,113,Drama,322,5.7,2015,18399991.9040035,191900.87556361398,long,medium
1.41239,No Escape,103,Action,519,6.7,2015,4599997.97600089,50065340.2112503,long,high
1.40805,Dope,103,Crime,448,7.3,2015,643999.716640124,16547831.2389542,long,high
1.388251,American Ultra,96,Comedy,695,5.9,2015,25759988.665604897,25951426.7813722,medium,medium
1.388032,Woman in Gold,120,Drama,277,7.3,2015,10119995.5472019,56690166.2163268,v_long,high
1.38032,The Scorpion King: The Lost Throne,105,Action,22,4.5,2015,0.0,0.0,long,low
1.376605,Sisters,118,Comedy,399,5.9,2015,27599987.856005296,96610126.25154442,v_long,medium
1.360926,Project Almanac,106,Science Fiction,637,6.3,2015,11039995.1424021,29668368.665917706,long,m_high
1.360827,Absolutely Anything,85,Comedy,199,5.8,2015,0.0,4774472.21923222,short,medium
1.355822,The Transporter Refueled,96,Thriller,407,5.3,2015,22999989.8800044,66819266.9995225,medium,low
1.345982,Crimson Peak,119,Mystery,819,6.4,2015,50599977.7360098,68705406.0096213,v_long,m_high
1.342839,Everly,90,Thriller,169,5.1,2015,0.0,0.0,short,low
1.338481,Magic Mike XXL,115,Comedy,501,6.3,2015,13615994.0089626,112619962.887216,v_long,m_high
1.338322,Paranormal Activity: The Ghost Dimension,88,Horror,267,5.0,2015,9199995.95200178,71851557.1453148,short,low
1.329702,Slow West,84,Romance,229,6.6,2015,0.0,210766.3872627889,short,m_high
1.316239,Trumbo,124,Drama,273,7.2,2015,13799993.9280026,7576804.78620589,v_long,high
1.315266,Secret in Their Eyes,111,Crime,202,6.2,2015,17939992.1064034,29614535.8096042,long,m_high
1.29314,Mistress America,84,Comedy,132,6.4,2015,0.0,2300395.50782597,short,m_high
1.291013,The SpongeBob Movie: Sponge Out of Water,93,Family,533,5.7,2015,68079970.0448131,286666383.306791,medium,medium
1.284541,True Story,100,Crime,354,6.0,2015,0.0,4342117.4894683,medium,medium
1.278928,Max,111,Adventure,214,7.0,2015,18399991.9040035,40449856.802063,long,high
1.25358,Shaun the Sheep Movie,85,Family,340,6.9,2015,0.0,54923975.83345061,short,high
1.251681,Louder Than Bombs,109,Drama,43,6.3,2015,10119995.5472019,0.0,long,m_high
1.245224,A Perfect Day,106,Comedy,102,6.3,2015,0.0,1566237.67085542,long,m_high
1.225325,The Gunman,115,Action,283,5.6,2015,36799983.80800711,9811564.7629115,v_long,medium
1.191138,Unfriended,82,Horror,643,5.6,2015,919999.595200178,57851497.3453411,short,medium
1.178831,Hot Pursuit,87,Action,472,5.5,2015,32199985.8320062,47545763.9998638,short,medium
1.164724,Insidious: Chapter 3,97,Drama,610,6.3,2015,9199995.95200178,95959500.6978197,medium,m_high
1.161812,Z for Zachariah,97,Drama,181,5.5,2015,0.0,109004.312038102,medium,medium
1.144808,Dragonheart 3: The Sorcerer's Curse,97,Action,59,4.5,2015,0.0,0.0,medium,low
1.142518,The Lady in the Van,104,Comedy,135,5.9,2015,5519997.57120106,38076655.2862716,long,medium
1.138395,Victor Frankenstein,109,Drama,408,5.5,2015,36799983.80800711,31489100.3047958,long,medium
1.128081,Brothers of the Wind,98,Adventure,11,7.5,2015,0.0,0.0,medium,high
1.125239,Anomalisa,90,Animation,259,6.7,2015,7359996.76160142,3458541.59824169,short,high
1.073349,Bone Tomahawk,132,Horror,220,6.3,2015,1655999.27136032,0.0,v_long,m_high
1.065888,Regression,106,Horror,310,5.2,2015,0.0,16257405.7667414,long,low
1.063055,Pawn Sacrifice,114,Drama,148,6.6,2015,0.0,0.0,v_long,m_high
1.046518,The Man Who Knew Infinity,108,Drama,104,7.1,2015,0.0,10554653.0359526,long,high
1.041922,Momentum,96,Thriller,100,5.8,2015,18399991.9040035,0.0,medium,medium
1.03839,The Diary of a Teenage Girl,102,Drama,186,6.8,2015,1839999.19040035,1358841.24210985,long,high
1.036825,Pay the Ghost,94,Horror,114,5.3,2015,0.0,0.0,medium,low
1.02762,The Voices,101,Horror,371,6.0,2015,0.0,0.0,long,medium
1.021441,Last Knights,115,Action,237,6.3,2015,0.0,3352102.24507501,v_long,m_high
1.008474,Il racconto dei racconti,125,Romance,211,5.7,2015,11039995.1424021,0.0,v_long,medium
1.007054,Irrational Man,95,Mystery,319,6.1,2015,10119995.5472019,25199786.192094,medium,m_high
0.973316,Queen of the Desert,128,Drama,30,6.0,2015,13799993.9280026,0.0,v_long,medium
0.956096,Ricki and the Flash,100,Comedy,152,5.5,2015,16559992.7136032,38019285.0315145,medium,medium
0.953647,Miss You Already,112,Comedy,139,7.2,2015,0.0,0.0,long,high
0.953046,Kung Fury,31,Action,487,7.7,2015,579617.224968421,0.0,short,high
0.950793,The Perfect Guy,100,Drama,122,5.6,2015,11039995.1424021,55451294.7614303,medium,medium
0.938432,A Bigger Splash,120,Crime,69,5.8,2015,0.0,1781601.29609542,v_long,medium
0.93762,While We're Young,97,Drama,265,5.9,2015,9199995.95200178,6980483.12858742,medium,medium
0.927339,Get Hard,100,Comedy,661,5.9,2015,36799983.80800711,97990493.6441828,medium,medium
0.91704,Kidnapping Mr. Heineken,95,Drama,131,5.8,2015,0.0,0.0,medium,medium
0.913085,The Ridiculous 6,119,Comedy,252,4.8,2015,55199975.71201059,0.0,v_long,low
0.90686,Kill Me Three Times,90,Comedy,96,5.1,2015,0.0,0.0,short,low
0.906036,The 33,120,History,262,5.8,2015,22999989.8800044,22910495.07938211,v_long,medium
0.898295999999999,Suffragette,106,Drama,231,7.1,2015,12879994.3328024,14722219.9222232,long,high
0.8944770000000001,45 Years,95,Drama,167,6.0,2015,0.0,0.0,medium,medium
0.880937999999999,We Are Your Friends,96,Drama,412,6.2,2015,5519997.57120106,10232318.2977799,medium,m_high
0.880268,Barely Lethal,96,Adventure,215,5.5,2015,0.0,5588.997540841079,medium,medium
0.874641,Macbeth,113,History,269,6.4,2015,0.0,12137055.0996957,long,m_high
0.872149,Extraction,83,Action,57,4.2,2015,0.0,15432.9932094829,short,low
0.8611790000000001,Jenny's Wedding,94,Comedy,92,5.2,2015,0.0,0.0,medium,low
0.848748,Descendants,112,Music,262,6.7,2015,0.0,0.0,long,high
0.843174,Tumbledown,105,Music,22,6.6,2015,0.0,0.0,long,m_high
0.842202,Far from the Madding Crowd,119,Romance,220,6.9,2015,0.0,27811566.6029106,v_long,high
0.8369409999999989,The End of the Tour,106,Drama,126,7.3,2015,0.0,2762652.06443309,long,high
0.8324870000000001,The Second Best Exotic Marigold Hotel,122,Drama,196,6.4,2015,9199995.95200178,79099969.91601321,v_long,m_high
0.829111,Little Boy,106,Comedy,113,7.1,2015,18399991.9040035,5906690.88105601,long,high
0.821443,LEGO DC Comics Super Heroes: Justice League vs. Bizarro League,48,Action,14,6.4,2015,0.0,0.0,short,m_high
0.820691,Remember,94,Drama,75,7.7,2015,0.0,1827684.9958186,medium,high
0.814206,Aloha,105,Adventure,469,5.2,2015,34039985.0224065,24150007.7739965,long,low
0.813893,Accidental Love,100,Romance,64,3.6,2015,23919989.4752046,0.0,medium,low
0.810667,Halo: The Fall of Reach,67,Action,32,5.3,2015,0.0,0.0,short,low
0.795762,Our Brand Is Crisis,108,Drama,122,5.7,2015,25759988.665604897,6442077.28548599,long,medium
0.792471,Into the Forest,101,Drama,57,5.1,2015,0.0,0.0,long,low
0.7879689999999989,The Invitation,100,Thriller,192,6.4,2015,0.0,213197.946192903,medium,m_high
0.781809,The Benefactor,90,Drama,55,4.5,2015,0.0,0.0,short,low
0.7739090000000001,Open Season: Scared Silly,85,Animation,33,5.6,2015,0.0,0.0,short,medium
0.77107,Cop Car,86,Thriller,174,5.5,2015,0.0,123787.785533374,short,medium
0.768138,Mojave,93,Thriller,17,4.3,2015,0.0,0.0,medium,low
0.758133,Sleeping with Other People,100,Comedy,197,6.2,2015,0.0,2956985.41892641,medium,m_high
0.747541,Forsaken,90,Western,53,5.6,2015,10119995.5472019,0.0,short,medium
0.738404,Amy,128,Documentary,345,7.5,2015,0.0,7740089.0743608,v_long,high
0.7299,Madame Bovary,118,Drama,52,5.3,2015,0.0,0.0,v_long,low
0.719407,The Hallow,97,Fantasy,122,4.9,2015,0.0,0.0,medium,low
0.7141310000000001,Barbie in Princess Power,74,Family,13,5.5,2015,0.0,0.0,short,medium
0.7073550000000001,Howl,89,Horror,62,4.9,2015,0.0,0.0,short,low
0.706023,Freeheld,103,Romance,86,7.1,2015,6439997.16640124,527467.967914094,long,high
0.7013699999999989,Man Up,88,Romance,264,6.5,2015,0.0,0.0,short,m_high
0.699932,Love,134,Drama,307,4.7,2015,2759998.78560053,639647.198555232,v_long,low
0.69957,Truth,121,Drama,89,6.4,2015,8831996.11392171,2338228.65117939,v_long,m_high
0.696184,Return to Sender,95,Thriller,88,5.0,2015,0.0,0.0,medium,low
0.690479,Danny Collins,107,Comedy,114,6.6,2015,9199995.95200178,9968887.45368952,long,m_high
0.6895789999999989,Rock the Kasbah,100,Comedy,56,5.1,2015,13799993.9280026,2779009.65723575,medium,low
0.689571,Fathers and Daughters,116,Drama,142,7.0,2015,2060799.09324839,0.0,v_long,high
0.6737920000000001,"Hello, My Name Is Doris",95,Comedy,87,6.6,2015,919999.595200178,13289393.2326669,medium,m_high
0.669351,The Vatican Tapes,91,Thriller,164,4.5,2015,11959994.7376023,1641981.23752825,short,low
0.661471,99 Homes,112,Drama,121,6.8,2015,7359996.76160142,1298972.2684522,long,high
0.6611630000000001,Hot Tub Time Machine 2,93,Comedy,244,5.0,2015,12879994.3328024,11329473.9350314,medium,low
0.654335,Knight of Cups,118,Romance,101,5.7,2015,0.0,0.0,v_long,medium
0.654046,Manglehorn,97,Drama,35,5.0,2015,3679998.38080071,131652.86207274,medium,low
0.649628,Mississippi Grind,108,Drama,74,5.7,2015,0.0,0.0,long,medium
0.644786,400 Days,91,Mystery,98,4.2,2015,0.0,0.0,short,low
0.640151,Lava,7,Animation,298,7.3,2015,0.0,0.0,short,high
0.638556999999999,Air,94,Thriller,135,4.7,2015,0.0,0.0,medium,low
0.633608,Riot,88,Action,11,5.0,2015,0.0,0.0,short,low
0.629560999999999,Septembers of Shiraz,110,Drama,14,5.9,2015,0.0,0.0,long,medium
0.607124,Every Thing Will Be Fine,118,Drama,44,5.1,2015,0.0,7391.27674783823,v_long,low
0.606113,Extinction,110,Drama,135,5.3,2015,0.0,0.0,long,low
0.604928,The Childhood of a Leader,116,Mystery,25,3.6,2015,0.0,0.0,v_long,low
0.602165,A Walk in the Woods,104,Drama,171,5.4,2015,7359996.76160142,33111785.4708143,long,low
0.599751,Clown,100,Horror,182,5.2,2015,0.0,0.0,medium,low
0.599655,The Lazarus Effect,83,Thriller,327,4.9,2015,3035998.66416058,58981843.80798871,short,low
0.589472,Batman vs. Robin,72,Action,142,6.8,2015,0.0,0.0,short,high
0.586735,Careful What You Wish For,91,Thriller,57,5.4,2015,7359996.76160142,0.0,short,low
0.577814,Unfinished Business,90,Comedy,241,4.9,2015,32199985.8320062,13276746.9182313,short,low
0.570743999999999,Lost River,95,Fantasy,129,5.7,2015,1839999.19040035,41796.5016095392,medium,medium
0.569443,Cobain: Montage of Heck,132,Music,197,7.5,2015,0.0,0.0,v_long,high
0.561032,Hyena Road,120,War,29,5.7,2015,0.0,0.0,v_long,medium
0.560743999999999,Criminal Activities,94,Thriller,67,5.9,2015,6439997.16640124,0.0,medium,medium
0.560423,Life,112,Drama,75,5.9,2015,11039995.1424021,0.0,long,medium
0.553238,"McFarland, USA",128,Drama,139,7.4,2015,0.0,42053235.77657621,v_long,high
0.5485869999999989,Backtrack,90,Horror,52,5.4,2015,0.0,0.0,short,low
0.5478270000000001,X+Y,111,Drama,133,6.0,2015,0.0,0.0,long,medium
0.546458,Home Sweet Hell,98,Drama,136,4.9,2015,2759998.78560053,0.0,medium,low
0.542568,Ooops! Noah is Gone...,85,Animation,50,5.7,2015,5519997.57120106,0.0,short,medium
0.5327,The Unspoken,90,Thriller,10,4.1,2015,0.0,0.0,short,low
0.532239,Hot Girls Wanted,84,Documentary,158,5.9,2015,0.0,0.0,short,medium
0.532205,The Gallows,87,Horror,247,5.0,2015,91999.95952001779,39251239.9294544,short,low
0.52985,Dirty Weekend,93,Drama,12,4.8,2015,0.0,0.0,medium,low
0.527957,I Spit on Your Grave III: Vengeance is Mine,91,Horror,100,5.0,2015,0.0,0.0,short,low
0.526642,Experimenter,97,History,94,6.9,2015,0.0,0.0,medium,high
0.524315,By the Sea,122,Drama,82,5.4,2015,9199995.95200178,3068131.49002214,v_long,low
0.52025,Woodlawn,123,Drama,32,6.8,2015,0.0,0.0,v_long,high
0.516954,The Hollow,90,Horror,19,5.1,2015,0.0,0.0,short,low
0.515401,Visions,80,Thriller,67,5.5,2015,0.0,0.0,short,medium
0.514735,Beyond the Mask,103,Action,13,6.2,2015,0.0,1137205.97962936,long,m_high
0.513386,I Am Here,97,Drama,18,4.0,2015,0.0,0.0,medium,low
0.50732,Wild Horses,100,Crime,16,4.1,2015,0.0,0.0,medium,low
0.5048279999999989,Pressure,91,Drama,29,5.0,2015,0.0,0.0,short,low
0.5024890000000001,Hidden,83,Thriller,96,6.5,2015,0.0,0.0,short,m_high
0.497265,Hell & Back,86,Fantasy,47,4.3,2015,0.0,145146.496135541,short,low
0.486351,Robot Overlords,90,Adventure,63,4.9,2015,19319991.4992037,0.0,short,low
0.482422,The Man with the Iron Fists 2,90,Action,43,4.7,2015,0.0,0.0,short,low
0.47784,LEGO DC Comics Super Heroes: Justice League: Attack of the Legion of Doom!,67,Action,17,6.8,2015,0.0,0.0,short,high
0.475473,Spare Parts,83,Action,38,6.6,2015,0.0,0.0,short,m_high
0.474788,The World Made Straight,119,Drama,13,5.8,2015,0.0,0.0,v_long,medium
0.4746260000000001,Last Shift,88,Horror,77,5.6,2015,0.0,0.0,short,medium
0.473344,Frankenstein,89,Horror,14,4.5,2015,0.0,0.0,short,low
0.471393,Cartel Land,100,Drama,112,7.5,2015,0.0,0.0,medium,high
0.471091,Superfast!,99,Comedy,60,4.4,2015,18399991.9040035,0.0,medium,low
0.470991,Moonwalkers,107,Comedy,53,6.0,2015,0.0,0.0,long,medium
0.470124,Chi-Raq,127,Music,33,5.9,2015,0.0,0.0,v_long,medium
0.467556,Bad Asses on the Bayou,85,Comedy,24,5.8,2015,4875997.85456094,0.0,short,medium
0.465707,Strange Magic,99,Music,68,6.1,2015,0.0,12515171.2533246,medium,m_high
0.46209,Black or White,121,Drama,72,6.7,2015,8279996.356801597,19845485.147986494,v_long,high
0.459597,Dead Rising,118,Horror,82,4.9,2015,0.0,0.0,v_long,low
0.454151,Deathgasm,86,Comedy,83,6.5,2015,0.0,0.0,short,m_high
0.452939,Justice League: Gods and Monsters,76,Action,99,6.9,2015,0.0,0.0,short,high
0.4508720000000001,I Saw the Light,123,Drama,19,5.6,2015,11959994.7376023,1515044.29338051,v_long,medium
0.4501600000000001,Good Kill,104,Action,132,5.7,2015,0.0,291154.11189219,long,medium
0.444265,Southbound,89,Fantasy,73,6.0,2015,0.0,0.0,short,medium
0.444193,Star Trek: Renegades,88,Action,31,4.1,2015,0.0,0.0,short,low
0.443525,The Boy,110,Thriller,22,6.1,2015,0.0,0.0,long,m_high
0.442835,Riley's First Date?,5,Animation,137,7.3,2015,0.0,0.0,short,high
0.4424270000000001,The Program,103,Drama,107,5.9,2015,0.0,3023530.82964643,long,medium
0.442067,Lila & Eve,94,Thriller,78,5.2,2015,0.0,0.0,medium,low
0.441882,The Final Girls,91,Horror,211,6.6,2015,0.0,0.0,short,m_high
0.441402,He Never Died,99,Thriller,65,6.3,2015,0.0,0.0,medium,m_high
0.4395979999999989,A Very Murray Christmas,56,Comedy,101,5.4,2015,0.0,0.0,short,low
0.438409,Kill Your Friends,100,Thriller,54,5.5,2015,0.0,0.0,medium,medium
0.437088,Battle For SkyArk,88,Family,18,3.5,2015,0.0,0.0,short,low
0.435582,Jem and the Holograms,119,Drama,69,5.7,2015,4599997.97600089,2146988.33532513,v_long,medium
0.4330729999999989,The Adderall Diaries,105,Thriller,23,4.8,2015,0.0,0.0,long,low
0.429892,Grizzly,94,Action,35,5.0,2015,9199995.95200178,0.0,medium,low
0.427116,Where to Invade Next,120,Documentary,67,7.2,2015,0.0,0.0,v_long,high
0.424813,Beasts of No Nation,137,Drama,306,7.5,2015,5519997.57120106,83514.8032534865,v_long,high
0.423161,A Christmas Horror Story,99,Horror,56,5.6,2015,0.0,0.0,medium,medium
0.42179,Sunset Song,135,Drama,19,7.1,2015,0.0,0.0,v_long,high
0.429756,Synchronicity,101,Thriller,45,5.3,2015,0.0,4144.5981763767995,long,low
0.415041,The Pack,90,Thriller,15,5.5,2015,0.0,0.0,short,medium
